27,Летний штиль,20000.00,bouquets/19.jpg,Спокойствие летнего утра в цветах,true,ribbon,glass,next_day,lily,deluxe,true,true,false,false,2025-04-29 01:52:26.257815 +00:00,florafresh,3
9,Нежность,21333.35,bouquets/12.jpg,Светлый букет с нотками ранней весны.,true,box,ceramic,same_day,rose,premium,false,true,false,true,2025-04-29 01:50:53.070025 +00:00,florafresh,2
26,Тропическая заря,20050.44,bouquets/24.jpg,Яркий и сочный букет с экзотическим настроением,true,garland,glass,same_day,daisy,standard,true,false,true,true,2025-04-29 01:52:26.257815 +00:00,interflora,5
24,Сиреневый вечер,18190.65,bouquets/38.jpg,Гармония сиреневого и белого в вечернем стиле,true,ribbon,ceramic,same_day,lily,premium,true,true,true,true,2025-04-29 01:52:26.257815 +00:00,florafresh,3
25,Мятная свежесть,15310.22,bouquets/16.jpg,Мятные акценты и белая классика,true,box,glass,next_day,tulip,deluxe,false,true,false,false,2025-04-29 01:52:26.257815 +00:00,local,4
17,Северное сияние,18108.79,bouquets/16.jpg,Букет с сияющим переливом белых и фиолетовых цветов.,true,garland,glass,same_day,lily,deluxe,false,false,false,false,2025-04-29 01:50:53.070025 +00:00,interflora,5
30,Северная свежесть,19005.45,bouquets/14.jpg,Свежесть ветра с севера в белых цветах,true,ribbon,ceramic,same_day,tulip,deluxe,false,true,true,false,2025-04-29 01:52:26.257815 +00:00,local,2
6,Цветочный рассвет,21369.69,bouquets/18.jpg,Пробуждение весны в каждом лепестке.,true,ribbon,ceramic,same_day,lily,premium,false,true,false,true,2025-04-29 01:50:53.070025 +00:00,local,4
18,Магия полей,14637.02,bouquets/12.jpg,Светлая композиция с цветами из диких полей,true,ribbon,ceramic,same_day,daisy,deluxe,false,true,false,false,2025-04-29 01:52:26.257815 +00:00,florafresh,4
22,Ягодный взрыв,23900.30,bouquets/16.jpg,Насыщенные цвета ягод в этом букете,true,box,ceramic,same_day,rose,deluxe,false,true,false,false,2025-04-29 01:52:26.257815 +00:00,interflora,5
28,Фламинго,17599.99,bouquets/17.jpg,Яркий букет с розовыми оттенками,true,box,ceramic,same_day,rose,standard,false,false,false,false,2025-04-29 01:52:26.257815 +00:00,interflora,4
29,Шоколадная роза,16110.00,bouquets/19.jpg,Глубокие оттенки бордо и шоколада,true,garland,glass,next_day,rose,premium,true,false,false,false,2025-04-29 01:52:26.257815 +00:00,florafresh,5
23,Цветочная фантазия,22017.77,bouquets/15.jpg,Фантастическое сочетание форм и оттенков,true,garland,glass,next_day,daisy,standard,true,false,false,false,2025-04-29 01:52:26.257815 +00:00,local,2
5,Солнечный день,24801.49,bouquets/16.jpg,Тёплый солнечный букет для хорошего настроения.,true,box,glass,same_day,daisy,standard,true,false,true,false,2025-04-29 01:50:53.070025 +00:00,local,3
20,Лунный свет,20483.00,bouquets/16.jpg,Холодные оттенки для тёплых вечеров,true,garland,ceramic,same_day,lily,standard,false,true,false,false,2025-04-29 01:52:26.257815 +00:00,local,3
3,Нежная весна,18829.96,bouquets/17.jpg,Милое описание букета с оттенком весеннего настроения.,true,ribbon,ceramic,next_day,daisy,deluxe,true,true,false,true,2025-04-29 01:50:53.070025 +00:00,florafresh,1
4,Тихий вечер,18234.72,bouquets/17.jpg,Описание нежного букета для романтического вечера.,true,garland,glass,next_day,tulip,premium,false,false,false,false,2025-04-29 01:50:53.070025 +00:00,interflora,5
8,Фиолетовое утро,17013.36,bouquets/23.jpg,Изысканная композиция с оттенками фиолетового.,true,box,glass,same_day,tulip,standard,false,false,true,false,2025-04-29 01:50:53.070025 +00:00,florafresh,4
10,Сладкий миг,16621.97,bouquets/29.jpg,"Букет, словно тёплый сладкий сон.",true,garland,glass,same_day,lily,premium,false,true,false,false,2025-04-29 01:50:53.070025 +00:00,local,3
21,Лавандовая мечта,16740.55,bouquets/21.jpg,Лаванда и свежесть на каждый день,true,ribbon,glass,next_day,tulip,premium,true,false,false,false,2025-04-29 01:52:26.257815 +00:00,florafresh,4
19,Ванильное небо,23112.78,bouquets/24.jpg,Букет нежных ванильных оттенков,true,box,glass,next_day,rose,premium,false,false,false,false,2025-04-29 01:52:26.257815 +00:00,interflora,5
14,Морозное утро,19338.16,bouquets/26.jpg,Лёгкий и свежий букет для зимнего настроения.,true,garland,ceramic,next_day,daisy,deluxe,false,true,false,false,2025-04-29 01:50:53.070025 +00:00,florafresh,2
12,Летний аромат,19401.94,bouquets/27.jpg,"Ароматный букет, наполненный летним настроением.",true,ribbon,glass,next_day,tulip,deluxe,false,true,false,false,2025-04-29 01:50:53.070025 +00:00,interflora,4
7,Гармония,13514.40,bouquets/30.jpg,Лёгкий и гармоничный букет с оттенками сирени.,true,garland,glass,next_day,daisy,deluxe,false,false,true,false,2025-04-29 01:50:53.070025 +00:00,interflora,3
15,Осенняя грусть,18556.20,bouquets/22.jpg,Теплые осенние оттенки в одном букете.,true,box,glass,next_day,lily,standard,false,false,false,false,2025-04-29 01:50:53.070025 +00:00,interflora,5
13,Сказка,21636.02,bouquets/25.jpg,Цветочная сказка в каждом лепестке.,true,box,glass,same_day,rose,premium,false,false,false,false,2025-04-29 01:50:53.070025 +00:00,local,3
16,Цветочный калейдоскоп,14300.69,bouquets/20.jpg,Яркий микс из всех возможных красок.,true,ribbon,glass,same_day,rose,premium,false,false,false,false,2025-04-29 01:50:53.070025 +00:00,florafresh,4
11,Белоснежка,23484.84,bouquets/28.jpg,Нежный белый букет как символ чистоты.,true,ribbon,ceramic,same_day,rose,premium,false,false,false,false,2025-04-29 01:50:53.070025 +00:00,interflora,5
